#{"t_start": 1763486504.285047, "env_id": "CartPole-v1"}
r,l,t
65.0,65,42.925709
50.0,50,42.963646
39.0,39,43.024509
31.0,31,43.047973
36.0,36,43.075567
42.0,42,43.107723
39.0,39,43.137541
57.0,57,43.180825
40.0,40,43.236848
35.0,35,43.261465
43.0,43,43.291689
40.0,40,43.319971
36.0,36,43.345714
41.0,41,43.374936
34.0,34,43.399466
39.0,39,43.464826
51.0,51,43.500864
38.0,38,43.527681
50.0,50,43.562922
22.0,22,43.578476
62.0,62,43.653802
54.0,54,43.692541
25.0,25,43.71071
22.0,22,43.726525
69.0,69,43.776439
52.0,52,43.814087
41.0,41,43.877691
38.0,38,43.90522
47.0,47,43.944275
40.0,40,43.972735
55.0,55,44.013292
36.0,36,44.042809
46.0,46,44.102996
49.0,49,44.137669
50.0,50,44.173776
62.0,62,44.220126
63.0,63,44.268033
28.0,28,44.313701
58.0,58,44.364308
26.0,26,44.383317
37.0,37,44.410987
33.0,33,44.434929
54.0,54,44.473839
37.0,37,44.502284
52.0,52,44.569337
42.0,42,44.601973
27.0,27,44.623275
23.0,23,44.64084
85.0,85,44.705656
60.0,60,44.775375
39.0,39,44.802969
64.0,64,44.847265
34.0,34,44.870797
57.0,57,44.910332
56.0,56,44.979419
25.0,25,44.997915
25.0,25,45.016108
24.0,24,45.033586
52.0,52,45.071289
26.0,26,45.091055
48.0,48,45.125873
48.0,48,45.192053
51.0,51,45.231098
50.0,50,45.268881
75.0,75,45.326752
36.0,36,45.354145
48.0,48,45.415505
56.0,56,45.45584
27.0,27,45.475373
45.0,45,45.507908
31.0,31,45.530331
66.0,66,45.578123
54.0,54,45.651949
24.0,24,45.67024
64.0,64,45.715809
28.0,28,45.735965
19.0,19,45.749609
43.0,43,45.780406
54.0,54,45.844039
35.0,35,45.868336
75.0,75,45.920385
67.0,67,45.967662
29.0,29,45.988167
30.0,30,46.037543
55.0,55,46.077176
34.0,34,46.101849
54.0,54,46.140944
21.0,21,46.156201
41.0,41,46.185881
24.0,24,46.203286
38.0,38,46.257676
25.0,25,46.276516
38.0,38,46.305587
55.0,55,46.348098
